StartTime(UTC),EndTime(UTC),Type,Severity
2016-04-10 23:45:00,2016-04-11 05:00:00,Rain,Light
2016-04-20 20:00:00,2016-04-20 21:00:00,Rain,Light
2016-04-20 22:00:00,2016-04-20 23:00:00,Rain,Light
2016-04-21 02:00:00,2016-04-21 03:00:00,Rain,Light
2016-04-21 03:00:00,2016-04-21 04:00:00,Rain,Moderate
2016-04-21 04:00:00,2016-04-21 08:00:00,Rain,Light
2016-04-21 10:45:00,2016-04-21 11:00:00,Rain,Light
2016-04-21 13:00:00,2016-04-21 14:00:00,Rain,Light
2016-04-26 03:30:00,2016-04-26 05:00:00,Rain,Light
2016-04-27 21:15:00,2016-04-28 01:00:00,Rain,Light
2016-04-28 01:00:00,2016-04-28 02:00:00,Rain,Moderate
2016-04-28 02:00:00,2016-04-28 03:15:00,Rain,Light
2016-04-28 06:00:00,2016-04-28 06:30:00,Rain,Light
2016-04-28 06:30:00,2016-04-28 07:00:00,Rain,Moderate
2016-04-28 07:00:00,2016-04-28 07:15:00,Rain,Heavy
2016-04-28 08:00:00,2016-04-28 09:00:00,Rain,Light
2016-04-28 09:00:00,2016-04-28 10:30:00,Rain,Light
2016-04-29 04:00:00,2016-04-29 05:00:00,Rain,Light
2016-04-29 07:45:00,2016-04-29 09:45:00,Rain,Light
2016-04-30 16:00:00,2016-04-30 22:00:00,Rain,Light
2016-04-30 22:00:00,2016-04-30 23:00:00,Rain,Moderate
2016-04-30 23:00:00,2016-05-01 00:00:00,Rain,Light
2016-05-01 00:00:00,2016-05-01 00:15:00,Rain,Moderate
2016-05-01 00:15:00,2016-05-01 10:00:00,Rain,Light
2016-05-02 01:30:00,2016-05-02 02:45:00,Rain,Light
2016-05-02 02:45:00,2016-05-02 03:00:00,Rain,Moderate
2016-05-02 03:00:00,2016-05-02 03:30:00,Rain,Light
2016-05-02 03:30:00,2016-05-02 05:00:00,Rain,Moderate
2016-05-04 08:00:00,2016-05-04 08:30:00,Rain,Light
2016-05-04 08:30:00,2016-05-04 11:00:00,Rain,Moderate
2016-05-04 11:00:00,2016-05-04 11:30:00,Rain,Light
2016-05-04 12:00:00,2016-05-04 12:15:00,Rain,Light
2016-05-05 10:00:00,2016-05-05 11:00:00,Rain,Light
2016-05-09 14:00:00,2016-05-09 15:00:00,Rain,Light
2016-05-09 23:00:00,2016-05-10 01:15:00,Rain,Light
2016-05-10 01:30:00,2016-05-10 07:00:00,Rain,Light
2016-05-10 08:00:00,2016-05-10 10:00:00,Rain,Light
2016-05-10 11:00:00,2016-05-10 13:00:00,Rain,Light
2016-05-10 13:15:00,2016-05-10 13:30:00,Rain,Light
2016-05-10 14:00:00,2016-05-10 14:30:00,Rain,Light
2016-05-10 14:45:00,2016-05-10 20:15:00,Rain,Light
2016-05-10 23:00:00,2016-05-11 02:00:00,Rain,Light
2016-05-12 05:00:00,2016-05-12 07:00:00,Rain,Light
2016-05-12 08:00:00,2016-05-12 08:15:00,Rain,Light
2016-05-12 08:15:00,2016-05-12 08:30:00,Rain,Moderate
2016-05-12 08:30:00,2016-05-12 09:00:00,Rain,Heavy
2016-05-12 09:00:00,2016-05-12 10:00:00,Rain,Moderate
2016-05-12 10:00:00,2016-05-12 10:30:00,Rain,Heavy
2016-05-12 10:30:00,2016-05-12 11:00:00,Rain,Light
2016-05-14 00:00:00,2016-05-14 03:30:00,Rain,Light
2016-05-14 03:30:00,2016-05-14 05:00:00,Rain,Moderate
2016-05-14 05:00:00,2016-05-14 08:00:00,Rain,Light
2016-05-17 11:00:00,2016-05-17 12:00:00,Rain,Light
2016-05-17 13:00:00,2016-05-17 15:00:00,Rain,Light
2016-05-25 23:00:00,2016-05-25 23:30:00,Rain,Light
2016-05-25 23:45:00,2016-05-26 00:00:00,Rain,Heavy
2016-05-26 00:00:00,2016-05-26 00:45:00,Rain,Light
2016-05-26 00:45:00,2016-05-26 01:30:00,Rain,Heavy
2016-05-26 02:15:00,2016-05-26 02:45:00,Rain,Light
2016-05-26 02:45:00,2016-05-26 03:45:00,Rain,Moderate
2016-05-27 21:30:00,2016-05-27 22:00:00,Rain,Light
2016-05-28 02:30:00,2016-05-28 04:00:00,Rain,Light
2016-05-28 04:45:00,2016-05-28 06:00:00,Rain,Light
2016-05-31 21:00:00,2016-05-31 21:15:00,Rain,Light
2016-05-31 21:15:00,2016-05-31 22:00:00,Rain,Moderate
2016-05-31 22:00:00,2016-05-31 22:15:00,Rain,Heavy
2016-05-31 22:15:00,2016-05-31 23:00:00,Rain,Light
2016-05-31 23:00:00,2016-05-31 23:45:00,Rain,Moderate
2016-05-31 23:45:00,2016-06-01 01:00:00,Rain,Heavy
2016-06-01 13:00:00,2016-06-01 14:00:00,Rain,Light
2016-06-04 20:00:00,2016-06-04 21:00:00,Rain,Light
2016-06-06 04:00:00,2016-06-06 05:00:00,Rain,Light
2016-06-09 18:00:00,2016-06-09 21:00:00,Rain,Light
2016-06-09 22:00:00,2016-06-09 23:00:00,Rain,Light
2016-06-10 06:45:00,2016-06-10 07:00:00,Rain,Light
2016-06-10 09:00:00,2016-06-10 10:00:00,Rain,Light
2016-06-14 23:00:00,2016-06-14 23:15:00,Rain,Light
2016-06-15 04:00:00,2016-06-15 05:00:00,Rain,Light
2016-06-15 08:30:00,2016-06-15 12:00:00,Rain,Light
2016-06-20 19:00:00,2016-06-20 20:00:00,Rain,Light
2016-06-22 17:00:00,2016-06-22 18:45:00,Rain,Light
2016-06-22 21:45:00,2016-06-22 22:45:00,Rain,Light
2016-06-23 02:00:00,2016-06-23 03:00:00,Rain,Light
2016-06-23 03:00:00,2016-06-23 03:30:00,Rain,Heavy
2016-06-26 13:30:00,2016-06-26 15:00:00,Rain,Moderate
2016-07-06 09:00:00,2016-07-06 09:15:00,Rain,Light
2016-07-06 09:15:00,2016-07-06 09:30:00,Rain,Moderate
2016-07-06 09:30:00,2016-07-06 10:15:00,Rain,Heavy
2016-07-06 10:15:00,2016-07-06 12:00:00,Rain,Light
2016-07-06 12:00:00,2016-07-06 13:00:00,Rain,Moderate
2016-07-06 13:00:00,2016-07-06 14:00:00,Rain,Light
2016-07-06 14:00:00,2016-07-06 14:15:00,Rain,Moderate
2016-07-06 14:15:00,2016-07-06 16:00:00,Rain,Light
2016-07-08 01:00:00,2016-07-08 02:00:00,Rain,Light
2016-07-13 16:00:00,2016-07-13 17:00:00,Rain,Light
2016-07-13 21:45:00,2016-07-13 22:30:00,Rain,Light
2016-07-13 22:45:00,2016-07-14 00:00:00,Rain,Light
2016-07-14 00:45:00,2016-07-14 01:30:00,Rain,Light
2016-07-14 01:30:00,2016-07-14 02:00:00,Rain,Moderate
2016-07-15 22:00:00,2016-07-15 22:45:00,Rain,Light
2016-07-16 01:45:00,2016-07-16 02:00:00,Rain,Light
2016-07-18 04:30:00,2016-07-18 06:00:00,Rain,Light
2016-07-18 06:00:00,2016-07-18 06:30:00,Rain,Moderate
2016-07-18 06:30:00,2016-07-18 07:15:00,Rain,Heavy
2016-07-22 03:00:00,2016-07-22 03:30:00,Rain,Light
2016-07-22 03:30:00,2016-07-22 04:00:00,Rain,Heavy
2016-07-22 04:00:00,2016-07-22 05:00:00,Rain,Light
2016-07-22 05:00:00,2016-07-22 07:00:00,Rain,Moderate
2016-07-22 07:00:00,2016-07-22 08:00:00,Rain,Light
2016-07-24 00:45:00,2016-07-24 02:00:00,Rain,Light
2016-07-24 04:15:00,2016-07-24 04:30:00,Rain,Light
2016-07-24 06:00:00,2016-07-24 06:30:00,Rain,Light
2016-07-24 06:30:00,2016-07-24 07:15:00,Rain,Moderate
2016-07-24 07:15:00,2016-07-24 09:00:00,Rain,Light
2016-07-25 00:15:00,2016-07-25 02:00:00,Rain,Light
2016-07-25 02:00:00,2016-07-25 02:45:00,Rain,Moderate
2016-07-28 17:00:00,2016-07-28 18:00:00,Rain,Light
2016-07-28 20:15:00,2016-07-28 22:45:00,Rain,Light
2016-07-28 22:45:00,2016-07-29 00:00:00,Rain,Light
2016-07-29 18:45:00,2016-07-29 22:00:00,Rain,Light
